epoch,phase,loss,accuracy,learning_rate
0,train,0.26060569,0.92678469,0.00010000
0,val,0.05187237,0.98572736,0.00010000
1,train,0.13746723,0.95790903,0.00010000
1,val,0.01203185,0.99634035,0.00010000
2,train,0.11330310,0.96480234,0.00009900
2,val,0.01301113,0.99634035,0.00009900
3,train,0.09874548,0.97049454,0.00009800
3,val,0.01557304,0.99524245,0.00009800
4,train,0.09844191,0.96877122,0.00009800
4,val,0.01344613,0.99542543,0.00009800
5,train,0.09390902,0.97091232,0.00009600
5,val,0.00624880,0.99817017,0.00009600
6,train,0.08544348,0.97279231,0.00009500
6,val,0.00696671,0.99853614,0.00009500
7,train,0.08059011,0.97550786,0.00009400
7,val,0.00435734,0.99890210,0.00009400
8,train,0.07991715,0.97477675,0.00009200
8,val,0.00389700,0.99890210,0.00009200
9,train,0.07867017,0.97613452,0.00009000
9,val,0.00316109,0.99853614,0.00009000
10,train,0.07500766,0.97717896,0.00009200
10,val,0.00432294,0.99853614,0.00009200
11,train,0.07853228,0.97603008,0.00009200
11,val,0.00114661,1.00000000,0.00009200
12,train,0.06971494,0.97801452,0.00009100
12,val,0.00647671,0.99835316,0.00009100
13,train,0.07084264,0.97832785,0.00009100
13,val,0.00728712,0.99780421,0.00009100
14,train,0.06809601,0.97796230,0.00009000
14,val,0.00252542,0.99926807,0.00009000
15,train,0.06506157,0.97979007,0.00008900
15,val,0.00299273,0.99890210,0.00008900
16,train,0.06853816,0.97754452,0.00008800
16,val,0.00499600,0.99853614,0.00008800
17,train,0.06569757,0.97963340,0.00008700
17,val,0.00115453,0.99963403,0.00008700
18,train,0.06575722,0.97879785,0.00008500
18,val,0.00171019,0.99945105,0.00008500
19,train,0.05989584,0.98125228,0.00008300
19,val,0.00329050,0.99890210,0.00008300
20,train,0.05931288,0.98177451,0.00008200
20,val,0.00316821,0.99890210,0.00008200
21,train,0.06015674,0.98104340,0.00008000
21,val,0.00172074,0.99945105,0.00008000
22,train,0.05648397,0.98078229,0.00008200
22,val,0.00445335,0.99853614,0.00008200
23,train,0.05295974,0.98308006,0.00008100
23,val,0.00260601,0.99926807,0.00008100
24,train,0.05746839,0.98292339,0.00008100
24,val,0.00058727,0.99963403,0.00008100
25,train,0.05608715,0.98323672,0.00008000
25,val,0.00087111,0.99963403,0.00008000
26,train,0.05492598,0.98287117,0.00008000
26,val,0.00383196,0.99908509,0.00008000
27,train,0.05215706,0.98381117,0.00007900
27,val,0.00088473,0.99963403,0.00007900
28,train,0.05171417,0.98334117,0.00007800
28,val,0.00410990,0.99926807,0.00007800
29,train,0.05064084,0.98407228,0.00007700
29,val,0.00119050,0.99945105,0.00007700
30,train,0.04899475,0.98417672,0.00007500
30,val,0.00249043,0.99890210,0.00007500
31,train,0.04973856,0.98475116,0.00007400
31,val,0.00147334,0.99963403,0.00007400
32,train,0.05529946,0.98219228,0.00007200
32,val,0.00060857,0.99981702,0.00007200
33,train,0.04609741,0.98532560,0.00007100
33,val,0.00150696,0.99963403,0.00007100
34,train,0.04759706,0.98475116,0.00006900
34,val,0.00021124,1.00000000,0.00006900
35,train,0.04483066,0.98605671,0.00006700
35,val,0.00119558,0.99963403,0.00006700
36,train,0.04541885,0.98548227,0.00006500
36,val,0.00030538,1.00000000,0.00006500
37,train,0.04134200,0.98637005,0.00006300
37,val,0.00051030,0.99981702,0.00006300
38,train,0.04392796,0.98657893,0.00006000
38,val,0.00270262,0.99926807,0.00006000
39,train,0.04536960,0.98527338,0.00005800
39,val,0.00324841,0.99945105,0.00005800
40,train,0.04238845,0.98694449,0.00005600
40,val,0.00062340,0.99981702,0.00005600
41,train,0.03800914,0.98825004,0.00005300
41,val,0.00084529,0.99963403,0.00005300
42,train,0.03806448,0.98757115,0.00005100
42,val,0.00025359,1.00000000,0.00005100
43,train,0.03857015,0.98741449,0.00004800
43,val,0.00014507,1.00000000,0.00004800
44,train,0.03584360,0.98825004,0.00004600
44,val,0.00024823,1.00000000,0.00004600
45,train,0.03531985,0.98819782,0.00004300
45,val,0.00126655,0.99945105,0.00004300
46,train,0.03428171,0.98992114,0.00004100
46,val,0.00083253,0.99981702,0.00004100
47,train,0.03403033,0.98804115,0.00003800
47,val,0.00002345,1.00000000,0.00003800
48,train,0.03335714,0.98934670,0.00003600
48,val,0.00077239,0.99981702,0.00003600
49,train,0.02967075,0.99023448,0.00003300
49,val,0.00006214,1.00000000,0.00003300
