epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.616,0.93543,2.29884,1.22675,0.87075,0.32886,0.38146,0.30035,0.67406,0.73094,0.94519,0.00333055,0.00333055,0.00333055
2,471.585,0.83576,1.26413,1.12661,0.80824,0.54668,0.5617,0.4455,0.66783,0.58014,0.91801,0.00659791,0.00659791,0.00659791
3,684.444,0.84402,1.01425,1.11935,0.79586,0.50374,0.5688,0.43013,0.72132,0.55483,0.96513,0.00979927,0.00979927,0.00979927
4,903.469,0.82006,0.78813,1.10529,0.7048,0.60597,0.59436,0.48934,0.5988,0.46009,0.86032,0.009703,0.009703,0.009703
5,1093.46,0.75683,0.65161,1.07442,0.89844,0.64965,0.71718,0.61832,0.52079,0.3793,0.79513,0.009604,0.009604,0.009604
6,1298,0.71324,0.58768,1.05301,0.75334,0.74688,0.75069,0.65041,0.5293,0.3521,0.79372,0.009505,0.009505,0.009505
7,1511.03,0.68773,0.55311,1.043,0.76498,0.74512,0.7776,0.69217,0.45107,0.31553,0.75098,0.009406,0.009406,0.009406
8,1702.73,0.67455,0.52924,1.03761,0.77699,0.76994,0.80982,0.73097,0.44136,0.31543,0.73608,0.009307,0.009307,0.009307
9,1927.26,0.6555,0.51093,1.02775,0.77196,0.74076,0.77782,0.69829,0.46279,0.29593,0.75106,0.009208,0.009208,0.009208
10,2126.15,0.64286,0.49224,1.02336,0.77081,0.79202,0.86265,0.77605,0.44346,0.29492,0.74124,0.009109,0.009109,0.009109
11,2320.04,0.6294,0.47418,1.01778,0.76022,0.88467,0.89995,0.80624,0.44924,0.28568,0.74881,0.00901,0.00901,0.00901
12,2533.01,0.62007,0.46136,1.01128,0.85573,0.87291,0.9117,0.82663,0.41585,0.26471,0.72228,0.008911,0.008911,0.008911
13,2739.11,0.60884,0.4523,1.00959,0.84166,0.86443,0.92653,0.84954,0.41073,0.27286,0.72519,0.008812,0.008812,0.008812
14,2968.77,0.60099,0.44191,1.00456,0.9089,0.85758,0.92582,0.84923,0.38064,0.25102,0.7074,0.008713,0.008713,0.008713
15,3205.02,0.59899,0.43929,1.0037,0.91064,0.88004,0.94199,0.86065,0.3894,0.23952,0.70928,0.008614,0.008614,0.008614
16,3397.52,0.58461,0.42281,0.99635,0.94027,0.8653,0.9417,0.87275,0.37414,0.23446,0.69851,0.008515,0.008515,0.008515
17,3608.92,0.59025,0.42478,1.00037,0.88821,0.92457,0.96212,0.89783,0.35373,0.21311,0.6864,0.008416,0.008416,0.008416
18,3834.54,0.57808,0.41386,0.99457,0.91105,0.92696,0.96451,0.89327,0.35724,0.21681,0.69301,0.008317,0.008317,0.008317
19,4042.28,0.57833,0.40906,0.99474,0.88961,0.9419,0.96698,0.89058,0.36423,0.22711,0.69166,0.008218,0.008218,0.008218
20,4234.95,0.57338,0.40615,0.99247,0.93491,0.94193,0.97699,0.9064,0.36272,0.21523,0.69028,0.008119,0.008119,0.008119
21,4428.12,0.56732,0.40003,0.98959,0.94558,0.91619,0.97182,0.91016,0.36077,0.20846,0.69034,0.00802,0.00802,0.00802
22,4624.61,0.56166,0.39456,0.98738,0.9484,0.93177,0.96749,0.90874,0.34651,0.20304,0.68325,0.007921,0.007921,0.007921
23,4827.41,0.56029,0.39412,0.98766,0.95946,0.95107,0.98146,0.91636,0.34698,0.19507,0.68147,0.007822,0.007822,0.007822
24,5021.27,0.5564,0.38495,0.98562,0.97113,0.94798,0.98113,0.91578,0.33219,0.19204,0.67549,0.007723,0.007723,0.007723
25,5218.51,0.5528,0.3816,0.9839,0.97591,0.95543,0.988,0.92693,0.3293,0.19184,0.6766,0.007624,0.007624,0.007624
26,5449.24,0.55044,0.38052,0.98229,0.95128,0.95792,0.98625,0.9283,0.3317,0.19161,0.67404,0.007525,0.007525,0.007525
27,5676.55,0.54838,0.37934,0.98421,0.96424,0.96613,0.98294,0.92767,0.33052,0.18646,0.67444,0.007426,0.007426,0.007426
28,5900.31,0.54158,0.37242,0.97723,0.97932,0.96212,0.99156,0.93411,0.32407,0.1843,0.67125,0.007327,0.007327,0.007327
29,6116.27,0.54103,0.3685,0.97914,0.97533,0.9582,0.98967,0.92954,0.32386,0.18354,0.67123,0.007228,0.007228,0.007228
30,6319.38,0.53479,0.36616,0.97726,0.97544,0.9537,0.98349,0.92751,0.31993,0.18663,0.66915,0.007129,0.007129,0.007129
31,206.822,0.53045,0.35441,0.97315,0.97333,0.97092,0.99146,0.93481,0.31406,0.1813,0.66735,0.00703,0.00703,0.00703
32,428.637,0.53118,0.35937,0.97704,0.97639,0.97128,0.99219,0.94069,0.31458,0.17851,0.66834,0.006931,0.006931,0.006931
33,657.862,0.52735,0.35667,0.9723,0.97368,0.97013,0.99166,0.94048,0.31405,0.17759,0.66723,0.006832,0.006832,0.006832
34,871.22,0.52712,0.35388,0.97289,0.97294,0.95718,0.98956,0.94111,0.30824,0.17534,0.66348,0.006733,0.006733,0.006733
35,1079.9,0.5249,0.35097,0.9708,0.95639,0.97326,0.9915,0.94495,0.31064,0.17674,0.66412,0.006634,0.006634,0.006634
36,237.715,0.49606,0.32399,0.95832,0.96144,0.97581,0.99213,0.94386,0.30306,0.1735,0.66008,0.006535,0.006535,0.006535
37,470.474,0.50082,0.32859,0.96419,0.97154,0.96563,0.99213,0.9436,0.3032,0.17122,0.66044,0.006436,0.006436,0.006436
